barnehagefakta - WARNING - The name from https://nbr.udir.no/enhet/918049916 differ from http://barnehagefakta.no/api/barnehage/918049916,"b'100 Meterskogen barnehage AS'" != "b'Best barnehage'"
barnehagefakta.get - WARNING - Change in response for id=975290506, archiving old result
barnehagefakta.get - WARNING - Change in response for id=987133686, archiving old result
barnehagefakta.get - WARNING - Change in response for id=989961527, archiving old result
barnehagefakta.get - WARNING - Change in response for id=922119066, archiving old result
barnehagefakta - WARNING - The name from https://nbr.udir.no/enhet/993294977 differ from http://barnehagefakta.no/api/barnehage/993294977,"b'Barnas barnehage Arnebr\xc3\xa5tveien AS'" != "b'Arnebr\xc3\xa5tveien barnehage AS'"
barnehagefakta - WARNING - The name from https://nbr.udir.no/enhet/925745367 differ from http://barnehagefakta.no/api/barnehage/925745367,"b'Barnas barnehage Hovseter AS'" != "b'Hovseter barnehage AS'"
barnehagefakta - WARNING - The name from https://nbr.udir.no/enhet/986792341 differ from http://barnehagefakta.no/api/barnehage/986792341,"b'Barnas barnehage Lunden AS'" != "b'Lunden barnehage AS'"
barnehagefakta.get - WARNING - Change in response for id=823663722, archiving old result
barnehagefakta.get - WARNING - Change in response for id=996308650, archiving old result
barnehagefakta.get - WARNING - Change in response for id=975316181, archiving old result
barnehagefakta.get - WARNING - Change in response for id=975291316, archiving old result
barnehagefakta.get - WARNING - Change in response for id=973472011, archiving old result
barnehagefakta.get - WARNING - Change in response for id=997915860, archiving old result
barnehagefakta.get - WARNING - Change in response for id=912373576, archiving old result
barnehagefakta.get - WARNING - Change in response for id=920355641, archiving old result
barnehagefakta.get - WARNING - Change in response for id=991922180, archiving old result
barnehagefakta.get - WARNING - Change in response for id=985165653, archiving old result
barnehagefakta.get - WARNING - Change in response for id=987095989, archiving old result
barnehagefakta.get - WARNING - Change in response for id=993069566, archiving old result
barnehagefakta.get - WARNING - Change in response for id=922829926, archiving old result
barnehagefakta.get - WARNING - Change in response for id=993159891, archiving old result
barnehagefakta.get - WARNING - Change in response for id=986607552, archiving old result
barnehagefakta.get - WARNING - Change in response for id=991964207, archiving old result
barnehagefakta.get - WARNING - Change in response for id=916392435, archiving old result
barnehagefakta.get - WARNING - Change in response for id=982449839, archiving old result
barnehagefakta.get - WARNING - Change in response for id=979437498, archiving old result
barnehagefakta.get - WARNING - Change in response for id=922401349, archiving old result
barnehagefakta.get - WARNING - Change in response for id=979591799, archiving old result
barnehagefakta.get - WARNING - Change in response for id=991138021, archiving old result
barnehagefakta.get - WARNING - Change in response for id=996591069, archiving old result
barnehagefakta.get - WARNING - Change in response for id=988557390, archiving old result
barnehagefakta.get - WARNING - Change in response for id=990511705, archiving old result
barnehagefakta.get - WARNING - Change in response for id=916392664, archiving old result
barnehagefakta.get - WARNING - Change in response for id=987041269, archiving old result
barnehagefakta.get - WARNING - Change in response for id=991144404, archiving old result
barnehagefakta.get - WARNING - Change in response for id=982766311, archiving old result
barnehagefakta.get - WARNING - Change in response for id=975316122, archiving old result
barnehagefakta.get - WARNING - Change in response for id=979590857, archiving old result
barnehagefakta.get - WARNING - Change in response for id=923905499, archiving old result
barnehagefakta.get - WARNING - Change in response for id=912185559, archiving old result
barnehagefakta.get - WARNING - Change in response for id=815279182, archiving old result
barnehagefakta.get - WARNING - Change in response for id=989287893, archiving old result
barnehagefakta.get - WARNING - Change in response for id=894487542, archiving old result
barnehagefakta.get - WARNING - Change in response for id=922119112, archiving old result
barnehagefakta.get - WARNING - Change in response for id=917240175, archiving old result
barnehagefakta.get - WARNING - Change in response for id=924524146, archiving old result
barnehagefakta.get - WARNING - Change in response for id=887589712, archiving old result
barnehagefakta.get - WARNING - Change in response for id=916392737, archiving old result
barnehagefakta.get - WARNING - Change in response for id=997551281, archiving old result
barnehagefakta.get - WARNING - Change in response for id=993951188, archiving old result
barnehagefakta - WARNING - The name from https://nbr.udir.no/enhet/914323061 differ from http://barnehagefakta.no/api/barnehage/914323061,"b'L\xc3\xa6ringsverkstedet barnehage Avd Vestskrenten Idrettsbarnehage'" != "b'L\xc3\xa6ringsverkstedet barnehage Avd Vestskrenten idrettsbarnehage'"
