barnehagefakta.barnehageregister_nbrId - WARNING - /enhet/eier/1025270?side=1 We got a "eier" when requesting Eiere=false, skipping
barnehagefakta.get - WARNING - Change in response for id=1021669, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1026375, archiving old result
barnehagefakta - WARNING - Kindergarten "Fagerli barnehage" https://nbr.udir.no/enhet/1026375, returned 404 at http://barnehagefakta.no/api/barnehage/1026375. The kindergarten is probably discontinued.
barnehagefakta.get - WARNING - Change in response for id=1015952, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1019714, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1012804, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1017739, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1012805, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1020633, archiving old result
barnehagefakta - WARNING - Kindergarten "Knøttene Familiebarnehage" https://nbr.udir.no/enhet/1020633, returned 404 at http://barnehagefakta.no/api/barnehage/1020633. The kindergarten is probably discontinued.
barnehagefakta.get - WARNING - Change in response for id=1019887, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1021557, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1020293, archiving old result
barnehagefakta - WARNING - Kindergarten "Sundet Familiebarnehage A L Solem" https://nbr.udir.no/enhet/1020293, returned 404 at http://barnehagefakta.no/api/barnehage/1020293. The kindergarten is probably discontinued.
barnehagefakta.get - WARNING - Change in response for id=1013115, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1016887, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1016848, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1019982, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1012809, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1012813, archiving old result
