barnehagefakta - WARNING - The name from https://nbr.udir.no/enhet/1013426 differ from http://barnehagefakta.no/api/barnehage/1013426,"Borgeenga barnehage" != "Norlandia Borgeenga barnehage"
barnehagefakta.get - WARNING - Change in response for id=1015771, archiving old result
barnehagefakta - WARNING - The name from https://nbr.udir.no/enhet/1015771 differ from http://barnehagefakta.no/api/barnehage/1015771,"Brevik Oppvekstsenter Avd barnehage" != "Brevik oppvekstsenter Avd barnehage"
barnehagefakta.get - WARNING - Change in response for id=1017899, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1012500, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1022289, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1021496, archiving old result
barnehagefakta.get - WARNING - Change in response for id=2000189, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1021748, archiving old result
barnehagefakta.get - ERROR - Seeing sporadic 404,200 for url = http://barnehagefakta.no/api/barnehage/1015492
barnehagefakta.get - WARNING - Change in response for id=1019720, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1019583, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1015940, archiving old result
