barnehagefakta - WARNING - The name from https://nbr.udir.no/enhet/1025332 differ from http://barnehagefakta.no/api/barnehage/1025332,"Auglend barnehage Barnehage for Hørselshemmede" != "Auglend barnehage Tilrettelagt for Hørselshemmede"
barnehagefakta.get - WARNING - Change in response for id=1016755, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1021295, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1025916, archiving old result
barnehagefakta - WARNING - The name from https://nbr.udir.no/enhet/1020515 differ from http://barnehagefakta.no/api/barnehage/1020515,"Hannes Lekestue AS" != "Hannes Lekestue AS Avd Tjensvoll"
barnehagefakta.get - WARNING - Change in response for id=1013064, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1020423, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1016210, archiving old result
barnehagefakta - WARNING - The name from https://nbr.udir.no/enhet/1016210 differ from http://barnehagefakta.no/api/barnehage/1016210,"Krabat barnehage" != "Barnehagene Haugtussa Krabat og Våland Avd Krabat"
barnehagefakta - WARNING - The name from https://nbr.udir.no/enhet/1012915 differ from http://barnehagefakta.no/api/barnehage/1012915,"Krabat barnehage Avdeling Haugtussa" != "Barnehagene Haugtussa Krabat og Våland Avd Haugtussa"
barnehagefakta.get - WARNING - Change in response for id=1017041, archiving old result
barnehagefakta - WARNING - The name from https://nbr.udir.no/enhet/1017041 differ from http://barnehagefakta.no/api/barnehage/1017041,"Krabat barnehage Avdeling Våland" != "Barnehagene Haugtussa Krabat og Våland Avd Våland"
barnehagefakta.get - WARNING - Change in response for id=1026337, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1026492, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1014268, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1021334, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1012920, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1015513, archiving old result
