barnehagefakta - WARNING - Kindergarten "Byafossen Kommunale Barenhage" https://nbr.udir.no/enhet/1026339, returned 404 at http://barnehagefakta.no/api/barnehage/1026339. The kindergarten is probably discontinued.
barnehagefakta - WARNING - Kindergarten "Egge barnehage" https://nbr.udir.no/enhet/1026340, returned 404 at http://barnehagefakta.no/api/barnehage/1026340. The kindergarten is probably discontinued.
barnehagefakta.get - WARNING - Change in response for id=1014936, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1020619, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1021897, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1021097, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1021973, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1021469, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1020957, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1017109, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1021213, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1018260, archiving old result
