barnehagefakta - WARNING - Kindergarten "Aglo barnehage Eventyrhuset" https://nbr.udir.no/enhet/1026310, returned 404 at http://barnehagefakta.no/api/barnehage/1026310. The kindergarten is probably discontinued.
barnehagefakta - WARNING - Kindergarten "Aglo barnehage Sentrum" https://nbr.udir.no/enhet/1026309, returned 404 at http://barnehagefakta.no/api/barnehage/1026309. The kindergarten is probably discontinued.
barnehagefakta.get - WARNING - Change in response for id=1015685, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1021506, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1021540, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1013937, archiving old result
barnehagefakta - WARNING - Kindergarten "Elvran barnehage" https://nbr.udir.no/enhet/1013937, returned 404 at http://barnehagefakta.no/api/barnehage/1013937. The kindergarten is probably discontinued.
barnehagefakta.get - WARNING - Change in response for id=1020826, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1020830, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1016408, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1017375, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1013936, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1016524, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1022110, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1021603, archiving old result
barnehagefakta - WARNING - Kindergarten "Gnist Barnehager Husbyåsen AS" https://nbr.udir.no/enhet/1021873, returned 404 at http://barnehagefakta.no/api/barnehage/1021873. The kindergarten is probably discontinued.
barnehagefakta.get - WARNING - Change in response for id=1022246, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1021742, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1017480, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1012527, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1014688, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1020622, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1020872, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1020535, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1017396, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1022393, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1013519, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1017374, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1022265, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1021274, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1014747, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1018266, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1018267, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1019826, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1019629, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1012948, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1021459, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1021270, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1021269, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1020701, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1025319, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1021718, archiving old result
