barnehagefakta - WARNING - Kindergarten "Andås barnehage" https://nbr.udir.no/enhet/1026295, returned 404 at http://barnehagefakta.no/api/barnehage/1026295. The kindergarten is probably discontinued.
barnehagefakta.get - WARNING - Change in response for id=1020039, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1021508, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1015536, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1017387, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1015864, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1020798, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1021692, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1015594, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1013902, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1019808, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1021512, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1019749, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1021454, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1013659, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1020102, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1021488, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1016929, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1019840, archiving old result
