# The following kindergartens exists in the https://nbr.udir.no/enhet/{id} directory, but gives 404 at http://barnehagefakta.no/api/barnehage/{id}, the following kindergartens are probably discontinued.
"name", "operator", "nbr id"
"Beitstad barnehage AS", "Beitstad barnehage AS", "1021451"
"Byafossen Kommunale Barenhage", "Steinkjer kommune", "1026339"
"Egge barnehage", "Steinkjer kommune", "1026340"
"Granstubben barnehage Henning AS", "Granstubben barnehage Henning AS", "1021897"
"Guldbergaunet Førskole AS", "Guldbergaunet Førskole AS", "1021798"
"Haugtussa barnehage AS", "Haugtussa barnehage AS", "1021097"
"Jåddåren Gårdsbarnehage AS", "Jåddåren Gårdsbarnehage AS", "1022240"
"Kringla Friluftsbarnehage AS", "Kringla Friluftsbarnehage AS", "1021973"
"Kvam barnehage Sa", "Kvam barnehage Sa", "1020499"
"Lykke Liten Familiebarnehage Trude Brandtzæg", "Lykke Liten Familiebarnehage Trude Brandtzæg", "1021851"
"Mære Gårdsbarnehage AS", "Mære Gårdsbarnehage AS", "1021469"
"Nordsihaugen Familiebarnehage AS", "Nordsihaugen Familiebarnehage AS", "1021448"
"Poppellunden barnehage Stiftelse", "Poppellunden barnehage Stiftelse", "1020357"
"Røysing barnehage Sa", "Røysing barnehage Sa", "1019739"
"Skjefte barnehage AS", "Skjefte barnehage AS", "1021213"
"Steinkjer Montessoribarnehage Sa", "Steinkjer Montessoribarnehage Sa", "1021366"
"Steinkjersannan barnehage", "Steinkjer kommune", "1017109"
"Sør-Beitstad barnehage Sa", "Sør-Beitstad barnehage Sa", "1020197"
"Tufbakken barnehage", "Steinkjer kommune", "1012568"
"Vikingen barnehage AS", "Vikingen barnehage AS", "1021462"
