barnehagefakta - WARNING - The name from https://nbr.udir.no/enhet/975044912 differ from http://barnehagefakta.no/api/barnehage/975044912,"b'Gimle Studentbarnehage'" != "b'Gimle Studentbarnehage 1 Samisk og 3 Norske Avdelinger'"
barnehagefakta.get - WARNING - Change in response for id=913833864, archiving old result
barnehagefakta - WARNING - The name from https://nbr.udir.no/enhet/913833864 differ from http://barnehagefakta.no/api/barnehage/913833864,"b'Marsveien barnehage'" != "b'Norlandia Marsvegen barnehage'"
barnehagefakta.get - WARNING - Change in response for id=989760351, archiving old result
barnehagefakta.get - WARNING - Change in response for id=974058073, archiving old result
barnehagefakta.get - WARNING - Change in response for id=921777752, archiving old result
barnehagefakta.get - WARNING - Change in response for id=979893965, archiving old result
barnehagefakta.get - WARNING - Change in response for id=979893957, archiving old result
barnehagefakta.get - WARNING - Change in response for id=973504096, archiving old result
barnehagefakta.get - WARNING - Change in response for id=979893973, archiving old result
barnehagefakta.get - WARNING - Change in response for id=979894007, archiving old result
barnehagefakta.get - WARNING - Change in response for id=974058081, archiving old result
barnehagefakta.get - WARNING - Change in response for id=921983751, archiving old result
barnehagefakta.get - WARNING - Change in response for id=975317242, archiving old result
barnehagefakta.get - WARNING - Change in response for id=993437158, archiving old result
barnehagefakta.get - WARNING - Change in response for id=873507802, archiving old result
