barnehagefakta.get - WARNING - Change in response for id=975313409, archiving old result
barnehagefakta.get - WARNING - Change in response for id=974055619, archiving old result
barnehagefakta.get - WARNING - Change in response for id=819510822, archiving old result
barnehagefakta.get - WARNING - Change in response for id=974627051, archiving old result
barnehagefakta.get - WARNING - Change in response for id=989158090, archiving old result
barnehagefakta.get - WARNING - Change in response for id=974627086, archiving old result
barnehagefakta.get - WARNING - Change in response for id=914301521, archiving old result
barnehagefakta.get - WARNING - Change in response for id=972418722, archiving old result
barnehagefakta.get - WARNING - Change in response for id=985695636, archiving old result
barnehagefakta.get - WARNING - Change in response for id=974287137, archiving old result
barnehagefakta.get - WARNING - Change in response for id=997376366, archiving old result
barnehagefakta.get - WARNING - Change in response for id=992071435, archiving old result
barnehagefakta.get - WARNING - Change in response for id=974627000, archiving old result
barnehagefakta.get - WARNING - Change in response for id=974627019, archiving old result
barnehagefakta.get - WARNING - Change in response for id=915751946, archiving old result
barnehagefakta.get - WARNING - Change in response for id=874627062, archiving old result
barnehagefakta.get - WARNING - Change in response for id=993176087, archiving old result
barnehagefakta.get - WARNING - Change in response for id=989158147, archiving old result
barnehagefakta.get - WARNING - Change in response for id=974627116, archiving old result
barnehagefakta.get - WARNING - Change in response for id=974627124, archiving old result
barnehagefakta.get - WARNING - Change in response for id=974627159, archiving old result
