"NBR name", "new name"
"0 - 6 Ullensakergata barnehage AS", "0 - 6 Ullensakergata barnehage"
"0 - 6 Vålerenggata barnehage AS", "0 - 6 Vålerenggata barnehage"
"Abildsø menighetsbarnehage AS", "Abildsø menighetsbarnehage"
"Almelia - Sio barnehage AS", "Almelia - Sio barnehage"
"Amigos Vestre Aker Menighet barnehage", "Amigos Vestre Aker menighet barnehage"
"Ankerhagen barnehage SA", "Ankerhagen barnehage"
"Arnebråtveien barnehage AS", "Arnebråtveien barnehage"
"Asperud Fus barnehage AS", "Asperud FUS barnehage"
"Asperud Sn Familiebarnehager AS Avd Asperudveien 16", "Asperud Sn familiebarnehager avd. Asperudveien 16"
"Asperud Sn Familiebarnehager AS Avd Asperudveien 9A", "Asperud Sn familiebarnehager avd. Asperudveien 9a"
"Baglerbyen Fus barnehage AS", "Baglerbyen FUS barnehage"
"Bakkehaugen barnehage SA", "Bakkehaugen barnehage"
"Bamsebo - Sio barnehage AS", "Bamsebo - Sio barnehage"
"Bamsebo familiebarnehage AS", "Bamsebo familiebarnehage"
"Barnehagenvår Sofus AS", "Barnehagenvår Sofus"
"Bekkelaget Kirkes barnehage", "Bekkelaget kirkes barnehage"
"Bellevue Gård barnehage", "Bellevue gård barnehage"
"Berg Gård barnehage", "Berg gård barnehage"
"Best barnehage AS", "Best barnehage"
"Bever'n barnehage SA Samvirkeforetak", "Bever'n barnehage Samvirkeforetak"
"Bislettbekken - Sio barnehage AS", "Bislettbekken - Sio barnehage"
"Bitteliten Brattvoll familiebarnehage AS", "Bitteliten Brattvoll familiebarnehage"
"Bitteliten Karlsrud familiebarnehage AS", "Bitteliten Karlsrud familiebarnehage"
"Bitteliten Merkur familiebarnehage AS", "Bitteliten Merkur familiebarnehage"
"Blindern Barnestuer SA", "Blindern Barnestuer"
"Blindernveien - Sio barnehage AS", "Blindernveien - Sio barnehage"
"Bogerud Gård barnehage", "Bogerud gård barnehage"
"Brennastubben familiebarnehage AS", "Brennastubben familiebarnehage"
"Brumlebassen barnehage AS", "Brumlebassen barnehage"
"Brødfabrikken Fus barnehage AS", "Brødfabrikken FUS barnehage"
"Bråten barnehage SA", "Bråten barnehage"
"Bukken Bruse barnehage SA", "Bukken Bruse barnehage"
"Bøler Menighets barnehage", "Bøler menighets barnehage"
"Bøler Åpne barnehage", "Bøler åpne barnehage"
"Christiania Barnehave Bjørndal AS", "Christiania barnehave Bjørndal"
"Christiania Barnehave Høybråten AS", "Christiania barnehave Høybråten"
"Christiania Barnehave Nordstrand AS", "Christiania barnehave Nordstrand"
"Collettløkka barnehage SA", "Collettløkka barnehage"
"Davinas AS", "Davinas"
"De Ni Musene AS Avd Ekeberg", "De Ni Musene avd. Ekeberg"
"Den Russiske Barnehagen", "Den Russiske barnehagen"
"Den Russiske Familiebarnehagen", "Den Russiske familiebarnehagen"
"Den Tysk-Norske Barnehagen i Oslo A", "Den Tysk-norske barnehagen i Oslo A"
"Dr. Brandts barnehage AS", "Dr. Brandts barnehage"
"Eilert Sundt - Sio barnehage AS", "Eilert Sundt - Sio barnehage"
"Eitillstad Fus barnehage", "Eitillstad FUS barnehage"
"Eplekneika barnehage SA", "Eplekneika barnehage"
"Eventyrbrua steinerbarnehage", "Eventyrbrua Steinerbarnehage"
"Eventyrlia Fus barnehage", "Eventyrlia FUS barnehage"
"Fernanda Fus barnehage AS", "Fernanda FUS barnehage"
"Fjordbyen barnehage AS", "Fjordbyen barnehage"
"Forskningsparken Montessori AS", "Forskningsparken Montessori"
"Fridheim barnehage AS", "Fridheim barnehage"
"Frogner International Pre-School", "Frogner International Pre-school"
"Frydenhaug - Sio barnehage AS", "Frydenhaug - Sio barnehage"
"Fuglekongen familiebarnehage AS", "Fuglekongen familiebarnehage"
"Gamlebyen Urtehagen barnehager AS", "Gamlebyen Urtehagen barnehager"
"Grefsen Kirkes barnehage", "Grefsen kirkes barnehage"
"Grefsenlyst Fus barnehage AS", "Grefsenlyst FUS barnehage"
"Grønland Urtehagen barnehager AS", "Grønland Urtehagen barnehager"
"Gullungene familiebarnehage Avd Bestumveien", "Gullungene familiebarnehage avd. Bestumveien"
"Gydas Vei barnehage", "Gydas vei barnehage"
"Hakkebakkeskogen Kirkesvingen", "Hakkebakkeskogen kirkesvingen"
"Hallagerstua barnehage SA", "Hallagerstua barnehage"
"Hansemyra friluftsbarnehage SA", "Hansemyra friluftsbarnehage"
"Haugenstua Skoles barnehage B/A", "Haugenstua skoles barnehage B/a"
"Havnabakken barnehage SA", "Havnabakken barnehage"
"Hoff Terrasse barnehage SA", "Hoff terrasse barnehage"
"Holmsåsen Fus barnehage AS", "Holmsåsen FUS barnehage"
"Hovseter barnehage AS", "Hovseter barnehage"
"Humlebakken Familiehage Åpen barnehage", "Humlebakken familiehage åpen barnehage"
"Humlen Montessori barnehage AS", "Humlen Montessori barnehage"
"Hvitveisen barnehage AS", "Hvitveisen barnehage"
"Idun Fus barnehage AS", "Idun FUS barnehage"
"Internasjonal kulturbarnehage Åkeberg AS", "Internasjonal kulturbarnehage Åkeberg"
"Jeriko private friluftsbarnehage AS", "Jeriko private friluftsbarnehage"
"Kampen kunstbarnehage Avd Sons Gate", "Kampen kunstbarnehage avd. Sons Gate"
"Kardemomme barnehage SA", "Kardemomme barnehage"
"Kattugla steinerbarnehage", "Kattugla Steinerbarnehage"
"Klatremus Familiebarnehage", "Klatremus familiebarnehage"
"Klossen - Sio barnehage AS", "Klossen - Sio barnehage"
"Kløfterhagen barnehage AS", "Kløfterhagen barnehage"
"Knærten familiebarnehage Avd 2", "Knærten familiebarnehage avd. 2"
"Knøttene Familiebarnehage-Bydel Alna AS", "Knøttene familiebarnehage-bydel Alna"
"Kolåsbakken barnehage SA", "Kolåsbakken barnehage"
"Kongeørnen barnehage AS", "Kongeørnen barnehage"
"Kongsveien barnehage AS", "Kongsveien barnehage"
"Kragskogen barnehage SA", "Kragskogen barnehage"
"Kulturparken Fus barnehage AS", "Kulturparken FUS barnehage"
"Kværnerbyen Fus barnehage AS", "Kværnerbyen FUS barnehage"
"Lfo Maternelle AS", "Lfo Maternelle"
"Lille Bamsebo - Sio barnehage AS", "Lille Bamsebo - Sio barnehage"
"Lille Bislett - Sio barnehage AS", "Lille Bislett - Sio barnehage"
"Lillo Gård barnehage", "Lillo gård barnehage"
